Mnemonic,Extension,{cheri_base32_ext_name},{cheri_base64_ext_name},XLEN dependent encoding,funct3,major opcode,Format,{cheri_int_mode_name} mnemonic RV32,{cheri_int_mode_name} mnemonic RV64,Function,illegal insn if (1),OR illegal insn if (2),OR illegal insn if (3),illegal insn if (4),illegal insn if (5),illegal insn if (6),illegal insn if (7),illegal insn if (8)
LOAD_CAP,{cheri_base_ext_name},✔,✔,,3,MISC_MEM,I-type,,,{LOAD_CAP_DESC},,,,,,,,
{CLRPERM},{cheri_base_ext_name},✔,✔,,,OP,R-type,,,{CLRPERM_DESC},,,,,,,,,
{GCHI_BASE},{cheri_base_ext_name},✔,✔,,,OP,R-type,,,{GCHI_BASE_DESC},,,,,,,,,
{GCHI},{cheri_base_ext_name},✔,✔,,,OP,1-src 1-dst,,,{GCHI_DESC},,,,,,,,,
{SCHI_BASE},{cheri_base_ext_name},✔,✔,,,OP,R-type,,,{SCHI_BASE_DESC},,,,,,,,,
{SCHI},{cheri_base_ext_name},✔,✔,,,OP,R-type,,,{SCHI_DESC},,,,,,,,,
{SCEQ},{cheri_base_ext_name},✔,✔,,,OP,R-type,,,{SCEQ_DESC},,,,,,,,,
{SENTRY},{rvy_sentry_insn_ext_name},✔,✔,,,OP,R-type,,,{SENTRY_DESC},,,,,,,,,
{SCSS},{cheri_base_ext_name},✔,✔,,,OP,R-type,,,{SCSS_DESC},,,,,,,,,
{CBLD},{cheri_base_ext_name},✔,✔,,,OP,R-type,,,{CBLD_DESC},,,,,,,,,
{YSUNSEAL},{cheri_base_ext_name},✔,✔,,,OP,R-type,,,{YSUNSEAL_DESC},,,,,,,,,
{SCBNDS},{cheri_base_ext_name},✔,✔,,,OP,R-type,,,{SCBNDS_DESC},,,,,,,,,
{SCBNDSI},{cheri_base_ext_name},✔,✔,,,OP,I-type,,,{SCBNDSI_DESC},,,,,,,,,
{SCBNDSR},{cheri_base_ext_name},✔,✔,,,OP,R-type,,,{SCBNDSR_DESC},,,,,,,,,
{CRAM},{cheri_base_ext_name},✔,✔,,,OP,1-src 1-dst,,,{CRAM_DESC},,,,,,,,,
{GCBASE},{cheri_base_ext_name},✔,✔,,,OP,1-src 1-dst,,,{GCBASE_DESC},,,,,,,,,
{GCLEN},{cheri_base_ext_name},✔,✔,,,OP,1-src 1-dst,,,{GCLEN_DESC},,,,,,,,,
{GCTYPE},{cheri_base_ext_name},✔,✔,,,OP,1-src 1-dst,,,{GCTYPE_DESC},,,,,,,,,
{SCMODE},{cheri_default_ext_name},✔,✔,,,OP,1-src 1-dst,,,{SCMODE_DESC},,,,,,,,,
{GCMODE},{cheri_default_ext_name},✔,✔,,,OP,1-src 1-dst,,,{GCMODE_DESC},,,,,,,,,
{MODESW_CAP},{cheri_default_ext_name},✔,✔,,,OP,no operands,,,{MODESW_CAP_DESC},,,,,,,,,
{MODESW_INT},{cheri_default_ext_name},✔,✔,,,OP,no operands,,,{MODESW_INT_DESC},,,,,,,,,
C_ADDI16SP_CAP,{rvy_zca_mod_ext_name},✔,✔,,,,C0,,,{C_ADDI16SP_CAP_DESC} ,,,,,,,,,
C_ADDI4SPN_CAP,{rvy_zca_mod_ext_name},✔,✔,,,,C0,,,{C_ADDI4SPN_CAP_DESC},,,,,,,,,
C_MV_CAP,{rvy_zca_mod_ext_name},✔,✔,,,,C2,,,{C_MV_CAP_DESC},,,,,,,,,
C_JAL_CHERI,{rvy_zca_mod_ext_name},✔,,,,,C2,,,{C_JAL_CHERI_DESC},MODE==D (optional),,,,,,,
JAL_CHERI,{rvy_i_mod_ext_name},✔,✔,,,,JAL,,,{JAL_CHERI_DESC},MODE==D (optional),,,,,,,
JALR_CHERI,{rvy_i_mod_ext_name},✔,✔,,,,JALR,,,{JALR_CHERI_DESC},MODE==D (optional),,,,,,,
C_JALR_CHERI,{rvy_zca_mod_ext_name},✔,✔,,,,C2,,,{C_JALR_CHERI_DESC},MODE==D (optional),,,,,,,
C_JR_CHERI,{rvy_zca_mod_ext_name},✔,✔,,,,C2,,,{C_JR_CHERI_DESC},MODE==D (optional),,,,,,,
DRET_CHERI,Sdext,✔,✔,,,SYSTEM,,,,"Return from debug mode, sets <<ddc>> from <<dddc>> and <<pcc>> from <<dpc_y>>",MODE<D,,,,,,,,
MRET_CHERI,M,✔,✔,,,SYSTEM,,,,"Return from machine mode handler, sets <<pcc>> from <<mtvec_y>> , needs <<asr_perm>>","MODE<M,{pcc}.ASR==0",,,,,,,
SRET_CHERI,S,✔,✔,,,SYSTEM,,,,"Return from supervisor mode handler, sets <<pcc>> from <<stvec_y>>, needs <<asr_perm>>","MODE<S,{pcc}.ASR==0","mstatus.TSR==1 AND MODE==S",,,,,
